event_id,discipline,category,athlete_id,rank,qualification_rank,qualification_score,semi_final_rank,semi_final_score,final_rank,final_score
1392,boulder,women,12664,47,47,0T3z 0 3,,,,
1392,boulder,women,4374,48,48,0T3z 0 9,,,,
1392,boulder,women,12735,49,49,0T2z 0 3,,,,
1392,boulder,women,16205,50,50,0T2z 0 4,,,,
1392,boulder,women,11422,51,51,0T2z 0 7,,,,
1392,boulder,women,15982,52,52,0T2z 0 8,,,,
1392,boulder,women,16203,53,53,0T2z 0 13,,,,
1392,boulder,women,11655,54,54,0T1z 0 2,,,,
1392,boulder,women,16204,55,55,0T1z 0 3,,,,
1392,boulder,women,11752,,,DNS,,,,
1393,boulder,women,11989,1,4,4T4z 5 4,,,1,2T3z 10 12
1393,boulder,women,3161,2,2,4T5z 6 5,,,2,1T3z 13 15
1393,boulder,women,3911,3,1,4T5z 5 8,,,3,0T2z 0 4
1393,boulder,women,13971,4,8,3T5z 9 17,,,4,0T2z 0 6
1393,boulder,women,3204,5,7,3T5z 5 9,,,5,0T2z 0 8
1393,boulder,women,12902,6,5,4T4z 10 9,,,6,0T1z 0 8
1393,boulder,women,15316,7,6,3T5z 3 11,,,,
1393,boulder,women,13979,8,3,4T5z 12 13,,,,
1393,boulder,women,13974,9,9,3T4z 4 4,,,,
1393,boulder,women,15344,10,10,2T5z 2 27,,,,
1393,boulder,women,14742,11,14,2T3z 3 5,,,,
1393,boulder,women,15343,12,11,2T5z 4 23,,,,
1393,boulder,women,12901,13,17,1T5z 1 10,,,,
1393,boulder,women,16299,14,20,1T3z 1 7,,,,
1393,boulder,women,16273,15,15,2T3z 4 9,,,,
1393,boulder,women,15317,16,12,2T4z 5 15,,,,
1393,boulder,women,15345,17,13,2T3z 2 7,,,,
1393,boulder,women,15289,18,18,1T4z 1 16,,,,
1393,boulder,women,15327,19,19,1T3z 1 3,,,,
1393,boulder,women,13105,20,16,2T3z 7 7,,,,
1393,boulder,women,15340,21,21,1T3z 1 13,,,,
1393,boulder,women,14013,21,21,1T3z 1 13,,,,
1393,boulder,women,15267,23,23,1T3z 1 15,,,,
1393,boulder,women,16509,24,24,1T3z 7 15,,,,
1393,boulder,women,16609,25,25,1T2z 1 2,,,,
1393,boulder,women,16580,25,25,1T2z 1 2,,,,
1393,boulder,women,16434,27,27,1T2z 2 2,,,,
1393,boulder,women,15288,28,28,0T3z 0 11,,,,
1393,boulder,women,15279,29,29,0T2z 0 3,,,,
1393,boulder,women,15277,30,30,0T2z 0 5,,,,
1393,boulder,women,16616,31,31,0T2z 0 15,,,,
1393,boulder,women,16359,31,31,0T2z 0 15,,,,
1393,boulder,women,15276,33,33,0T1z 0 1,,,,
1394,boulder,women,15316,1,1,5T5z 6 5,,,1,4T4z 13 8
1394,boulder,women,3161,2,4,5T5z 7 6,,,2,3T4z 5 6
1394,boulder,women,12902,3,1,5T5z 6 5,,,3,0T4z 0 6
1394,boulder,women,15344,4,5,5T5z 13 6,,,4,0T4z 0 19
1394,boulder,women,13974,5,8,4T5z 5 6,,,5,0T3z 0 7
1394,boulder,women,15343,6,17,3T4z 8 4,,,6,0T2z 0 2
1394,boulder,women,13975,7,11,3T5z 3 7,,,,
1394,boulder,women,3204,8,6,4T5z 5 5,,,,
1394,boulder,women,15288,9,10,4T5z 7 10,,,,
1394,boulder,women,16509,10,15,3T5z 8 6,,,,
1394,boulder,women,15317,11,9,4T5z 7 5,,,,
1394,boulder,women,11998,12,3,5T5z 7 5,,,,
1394,boulder,women,15345,13,16,3T4z 5 5,,,,
1394,boulder,women,14013,14,18,2T5z 4 7,,,,
1394,boulder,women,16299,15,13,3T5z 7 7,,,,
1394,boulder,women,14742,16,6,4T5z 5 5,,,,
1394,boulder,women,15276,17,19,2T5z 7 12,,,,
1394,boulder,women,14946,18,12,3T5z 6 7,,,,
1394,boulder,women,15669,19,20,2T4z 6 11,,,,
1394,boulder,women,13105,20,14,3T5z 7 10,,,,
1394,boulder,women,16575,21,21,1T2z 5 7,,,,
1394,boulder,women,15289,22,22,0T5z 0 9,,,,
1394,boulder,women,16592,23,23,0T5z 0 29,,,,
1394,boulder,women,16596,24,24,0T4z 0 7,,,,
1394,boulder,women,15277,25,25,0T3z 0 7,,,,
1394,boulder,women,16356,26,26,0T0z 0 0,,,,
1396,boulder,youth b female,16146,1,1,6T6z 8 6,1,4T4z 5 5,1,2T4z 5 15
1396,boulder,youth b female,16215,2,11,3T6z 4 6,5,3T4z 8 8,2,1T4z 1 17
1396,boulder,youth b female,16139,3,5,4T6z 8 9,2,4T4z 7 6,3,0T3z 0 10
1396,boulder,youth b female,14161,4,2,4T6z 4 6,4,3T4z 8 8,4,0T1z 0 10
1396,boulder,youth b female,14173,5,12,3T6z 4 7,3,3T4z 6 6,5,0T0z 0 0
1396,boulder,youth b female,16233,6,20,2T6z 2 9,6,3T3z 5 5,6,0T0z 0 0
1396,boulder,youth b female,16034,7,7,4T6z 10 10,7,2T4z 4 9,,
1396,boulder,youth b female,14305,8,6,4T6z 8 10,8,2T4z 4 10,,
1396,boulder,youth b female,14378,9,3,4T6z 7 7,9,2T4z 5 14,,
1396,boulder,youth b female,15163,10,4,4T6z 8 6,10,2T3z 8 4,,
1396,boulder,youth b female,14740,11,8,4T6z 15 7,11,2T3z 8 6,,
1396,boulder,youth b female,16137,12,9,3T6z 3 11,12,1T4z 3 10,,
1396,boulder,youth b female,15029,13,15,3T6z 9 12,13,1T4z 5 11,,
1396,boulder,youth b female,16155,14,19,2T6z 2 6,14,1T3z 3 5,,
1396,boulder,youth b female,15495,15,17,3T5z 6 5,15,1T3z 4 4,,
1396,boulder,youth b female,16138,16,9,3T6z 3 11,16,1T3z 4 9,,
1396,boulder,youth b female,15441,17,13,3T6z 4 11,17,0T3z 0 11,,
1396,boulder,youth b female,14383,18,14,3T6z 8 12,18,0T3z 0 12,,
1396,boulder,youth b female,15379,19,18,3T5z 9 13,19,0T3z 0 13,,
1396,boulder,youth b female,14530,20,16,3T5z 5 6,20,0T2z 0 2,,
1396,boulder,youth b female,15642,21,21,2T6z 4 8,,,,
1396,boulder,youth b female,14843,22,22,2T6z 4 9,,,,
1396,boulder,youth b female,15605,23,23,2T6z 5 7,,,,
